id,DE,EN,UK,RU
introduction,Einleitung:,Introduction:,Вступ:,Введение:
quastion,Frage:,Question:,Питання:,Вопрос:
answer,Antwort:,Answer:,Відповідь:,Ответ:
early,Was bisher geschah:,What happened so far:,Що сталося раніше:,Что произошло ранее:
epilogue,Epilog:,Epilogue:,Епілог:,Эпилог:
scan_hint,"Halten Sie Ihren Finger auf dem Bildschirm, um den QR-Code zu scannen",Hold your finger on screen to scan QR code,Утримуйте палець на екрані щоб відсканувати QR-код,Удерживайте палец на экране чтобы отсканировать QR-код
